24	22	18
HOLDING CONTAINERS
SectionID	code	length	weight	cargo	TW	cargo capacity
SectionID	x	y	z	code	length	weight	cargo	TW	cargo capacity
--------------------
0	0	0	0	2224	20	2	20	22	20
0	0	0	0	2225	20	2	20	22	20
0	0	0	1	2752	20	2	20	22	20
0	0	0	1	2753	20	2	20	22	20
0	0	0	2	1056	40	4	22	26	22
0	0	0	3	1320	40	4	22	26	22
0	0	0	4	1584	40	4	22	26	22
0	0	0	5	1848	40	4	22	26	22
0	0	0	6	0000	40	4	0	4	22
0	0	0	7	0264	40	4	0	4	22
0	0	0	8	0528	40	4	0	4	22
0	0	0	9	0792	40	4	0	4	22
0	0	1	0	2236	20	2	20	22	20
0	0	1	0	2237	20	2	20	22	20
0	0	1	1	2764	20	2	20	22	20
0	0	1	1	2765	20	2	20	22	20
0	0	1	2	1062	40	4	22	26	22
0	0	1	3	1326	40	4	22	26	22
0	0	1	4	1590	40	4	22	26	22
0	0	1	5	1854	40	4	22	26	22
0	0	1	6	0006	40	4	0	4	22
0	0	1	7	0270	40	4	0	4	22
0	0	1	8	0534	40	4	0	4	22
0	0	1	9	0798	40	4	0	4	22
0	0	2	0	2248	20	2	20	22	20
0	0	2	0	2249	20	2	20	22	20
0	0	2	1	2776	20	2	20	22	20
0	0	2	1	2777	20	2	20	22	20
0	0	2	2	1068	40	4	22	26	22
0	0	2	3	1332	40	4	22	26	22
0	0	2	4	1596	40	4	22	26	22
0	0	2	5	1860	40	4	22	26	22
0	0	2	6	0012	40	4	0	4	22
0	0	2	7	0276	40	4	0	4	22
0	0	2	8	0540	40	4	0	4	22
0	0	2	9	0804	40	4	0	4	22
0	0	3	0	2260	20	2	20	22	20
0	0	3	0	2261	20	2	20	22	20
0	0	3	1	2788	20	2	20	22	20
0	0	3	1	2789	20	2	20	22	20
0	0	3	2	1074	40	4	22	26	22
0	0	3	3	1338	40	4	22	26	22
0	0	3	4	1602	40	4	22	26	22
0	0	3	5	1866	40	4	22	26	22
0	0	3	6	0018	40	4	0	4	22
0	0	3	7	0282	40	4	0	4	22
0	0	3	8	0546	40	4	0	4	22
0	0	3	9	0810	40	4	0	4	22
0	0	4	0	2272	20	2	20	22	20
0	0	4	0	2273	20	2	20	22	20
0	0	4	1	2800	20	2	20	22	20
0	0	4	1	2801	20	2	20	22	20
0	0	4	2	1080	40	4	22	26	22
0	0	4	3	1344	40	4	22	26	22
0	0	4	4	1608	40	4	22	26	22
0	0	4	5	1872	40	4	22	26	22
0	0	4	6	0024	40	4	0	4	22
0	0	4	7	0288	40	4	0	4	22
0	0	4	8	0552	40	4	0	4	22
0	0	4	9	0816	40	4	0	4	22
0	0	5	0	2284	20	2	20	22	20
0	0	5	0	2285	20	2	20	22	20
