24	22	18
HOLDING CONTAINERS
SectionID	code	length	weight	cargo	TW	cargo capacity
3	6742	20	2	4	6	20
4	6766	20	2	5	7	20
1	6807	20	2	6	8	20
0	6867	20	2	4	6	20
SectionID	x	y	z	code	length	weight	cargo	TW	cargo capacity
--------------------
3	0	0	0	4404	20	2	15	17	20
3	0	0	0	4413	20	2	15	17	20
3	0	0	1	1223	20	2	11	13	20
3	0	0	1	1224	20	2	11	13	20
3	0	0	2	1753	20	2	8	10	20
3	0	0	2	1754	20	2	13	15	20
3	0	0	3	5716	40	4	17	21	22
3	0	0	4	3099	20	2	10	12	20
3	0	0	4	3119	20	2	5	7	20
3	0	0	5	5020	20	2	1	3	20
3	0	0	5	5040	20	2	13	15	20
3	0	0	6	0892	40	4	13	17	22
3	0	0	7	2637	20	2	9	11	20
3	0	0	7	2659	20	2	4	6	20
3	0	0	8	3899	40	4	12	16	22
3	0	0	9	2346	40	4	11	15	22
3	0	0	10	5422	40	4	10	14	22
3	0	0	11	3554	40	4	8	12	22
3	0	0	12	6061	40	4	7	11	22
3	0	0	13	3750	40	4	5	9	22
3	0	0	14	4226	40	4	5	9	22
3	0	0	15	2928	40	4	4	8	22
3	0	0	16	0544	40	4	3	7	22
3	0	0	17	2201	40	4	3	7	22
3	0	1	0	2291	40	4	20	24	22
3	0	1	1	1675	40	4	19	23	22
3	0	1	2	3300	40	4	19	23	22
3	0	1	3	5559	20	2	14	16	20
3	0	1	3	5567	20	2	5	7	20
3	0	1	4	4169	20	2	2	4	20
3	0	1	4	4173	20	2	16	18	20
3	0	1	5	2877	20	2	9	11	20
3	0	1	5	2878	20	2	8	10	20
3	0	1	6	5993	20	2	7	9	20
3	0	1	6	5994	20	2	8	10	20
3	0	1	7	0975	40	4	14	18	22
3	0	1	8	1312	40	4	13	17	22
3	0	1	9	5137	20	2	1	3	20
3	0	1	9	5141	20	2	11	13	20
3	0	1	10	3859	20	2	10	12	20
3	0	1	10	3862	20	2	1	3	20
3	0	1	11	4562	40	4	10	14	22
3	0	1	12	0549	40	4	8	12	22
3	0	1	13	4852	40	4	8	12	22
3	0	1	14	2107	40	4	5	9	22
3	0	1	15	3729	40	4	4	8	22
3	0	1	16	5428	40	4	3	7	22
3	0	1	17	2799	40	4	1	5	22
3	0	2	0	3800	20	2	19	21	20
3	0	2	0	3813	20	2	18	20	20
3	0	2	1	2570	20	2	17	19	20
3	0	2	1	2571	20	2	19	21	20
3	0	2	2	5674	40	4	22	26	22
3	0	2	3	2101	20	2	8	10	20
3	0	2	3	2109	20	2	12	14	20
3	0	2	4	6562	20	2	18	20	20
3	0	2	4	6563	20	2	2	4	20
3	0	2	5	4607	40	4	17	21	22
3	0	2	6	5026	40	4	17	21	22
3	0	2	7	1114	40	4	15	19	22
3	0	2	8	0551	40	4	14	18	22
3	0	2	9	3444	40	4	14	18	22
3	0	2	10	6361	40	4	14	18	22
3	0	2	11	6124	40	4	12	16	22
3	0	2	12	1464	40	4	11	15	22
3	0	2	13	6684	40	4	9	13	22
3	0	2	14	1771	40	4	7	11	22
3	0	2	15	5475	40	4	7	11	22
3	0	2	16	1966	40	4	3	7	22
3	0	2	17	3732	40	4	2	6	22
3	0	3	0	3129	20	2	8	10	20
3	0	3	0	3130	20	2	17	19	20
3	0	3	1	4287	20	2	14	16	20
3	0	3	1	4288	20	2	9	11	20
3	0	3	2	4791	20	2	7	9	20
3	0	3	2	4792	20	2	16	18	20
3	0	3	3	0559	40	4	21	25	22
3	0	3	4	2663	20	2	19	21	20
3	0	3	4	2664	20	2	2	4	20
3	0	3	5	1903	20	2	2	4	20
3	0	3	5	1923	20	2	17	19	20
3	0	3	6	6395	20	2	11	13	20
3	0	3	6	6396	20	2	8	10	20
3	0	3	7	1256	40	4	18	22	22
3	0	3	8	5775	20	2	13	15	20
3	0	3	8	5776	20	2	2	4	20
3	0	3	9	6129	40	4	15	19	22
3	0	3	10	3693	40	4	12	16	22
3	0	3	11	1683	40	4	11	15	22
3	0	3	12	5342	40	4	11	15	22
3	0	3	13	2361	20	2	5	7	20
3	0	3	13	2366	20	2	3	5	20
3	0	3	14	4170	40	4	4	8	22
3	0	3	15	4040	40	4	3	7	22
3	0	3	16	5651	40	4	0	4	22
3	0	3	17	6064	40	4	0	4	22
3	0	4	0	2803	40	4	22	26	22
3	0	4	1	5046	20	2	3	5	20
3	0	4	1	5047	20	2	19	21	20
3	0	4	2	3603	40	4	21	25	22
3	0	4	3	1715	40	4	18	22	22
3	0	4	4	2317	40	4	18	22	22
3	0	4	5	5853	40	4	14	18	22
3	0	4	6	1002	40	4	13	17	22
3	0	4	7	3310	20	2	10	12	20
3	0	4	7	3311	20	2	2	4	20
3	0	4	8	4363	20	2	8	10	20
3	0	4	8	4364	20	2	4	6	20
3	0	4	9	0572	40	4	11	15	22
3	0	4	10	4078	40	4	11	15	22
3	0	4	11	5587	20	2	4	6	20
3	0	4	11	5588	20	2	7	9	20
3	0	4	12	4678	20	2	0	2	20
3	0	4	12	4679	20	2	10	12	20
3	0	4	13	2119	40	4	7	11	22
3	0	4	14	1499	40	4	5	9	22
3	0	4	15	1361	40	4	3	7	22
3	0	4	16	4933	40	4	2	6	22
3	0	4	17	6150	40	4	0	4	22
3	0	5	0	3443	20	2	19	21	20
3	0	5	0	3449	20	2	7	9	20
3	0	5	1	4133	40	4	21	25	22
3	0	5	2	1796	40	4	19	23	22
3	0	5	3	4566	20	2	16	18	20
3	0	5	3	4580	20	2	3	5	20
3	0	5	4	5276	20	2	8	10	20
3	0	5	4	5292	20	2	11	13	20
3	0	5	5	1019	40	4	18	22	22
3	0	5	6	2312	20	2	6	8	20
3	0	5	6	2326	20	2	10	12	20
3	0	5	7	2758	40	4	14	18	22
3	0	5	8	0579	40	4	12	16	22
3	0	5	9	1485	20	2	1	3	20
3	0	5	9	1492	20	2	10	12	20
3	0	5	10	5935	40	4	11	15	22
3	0	5	11	3968	20	2	2	4	20
3	0	5	11	3975	20	2	3	5	20
3	0	5	12	5801	20	2	3	5	20
3	0	5	12	5802	20	2	2	4	20
3	0	5	13	3054	40	4	4	8	22
3	0	5	14	5221	40	4	4	8	22
3	0	5	15	3276	40	4	3	7	22
3	0	5	16	2223	40	4	1	5	22
3	0	5	17	5062	40	4	1	5	22
3	0	6	0	0578	20	2	20	22	20
3	0	6	0	0583	20	2	9	11	20
3	0	6	1	1386	40	4	22	26	22
3	0	6	2	2011	20	2	11	13	20
3	0	6	2	2021	20	2	8	10	20
3	0	6	3	3787	20	2	3	5	20
3	0	6	3	3791	20	2	15	17	20
3	0	6	4	4588	20	2	7	9	20
