24	22	18
HOLDING CONTAINERS
SectionID	code	length	weight	cargo	TW	cargo capacity
4	5513	20	2	14	16	20
SectionID	x	y	z	code	length	weight	cargo	TW	cargo capacity
--------------------
0	0	0	0	2393	20	2	20	22	20
0	0	0	0	2394	20	2	16	18	20
0	0	0	1	4066	20	2	9	11	20
0	0	0	1	4074	20	2	17	19	20
0	0	0	2	3169	20	2	10	12	20
0	0	0	2	3194	20	2	14	16	20
0	0	0	3	5389	20	2	19	21	20
0	0	0	3	5390	20	2	5	7	20
0	0	0	4	1170	40	4	20	24	22
0	0	0	5	5009	20	2	5	7	20
0	0	0	5	5010	20	2	13	15	20
0	0	0	6	4626	20	2	0	2	20
0	0	0	6	4633	20	2	16	18	20
0	0	0	7	3718	40	4	14	18	22
0	0	0	8	2044	40	4	13	17	22
0	0	0	9	0901	20	2	0	2	20
0	0	0	9	0913	20	2	12	14	20
0	0	0	10	1782	40	4	11	15	22
0	0	0	11	1648	40	4	3	7	22
0	0	0	12	0539	40	4	2	6	22
0	0	1	0	1375	20	2	7	9	20
0	0	1	0	1376	20	2	19	21	20
0	0	1	1	3316	20	2	20	22	20
0	0	1	1	3328	20	2	3	5	20
0	0	1	2	4284	20	2	20	22	20
0	0	1	2	4322	20	2	3	5	20
0	0	1	3	3845	40	4	21	25	22
0	0	1	4	2570	40	4	17	21	22
0	0	1	5	4868	40	4	17	21	22
0	0	1	6	1070	40	4	16	20	22
0	0	1	7	2948	40	4	16	20	22
0	0	1	8	5537	40	4	16	20	22
0	0	1	9	0546	40	4	12	16	22
0	0	1	10	5246	40	4	12	16	22
0	0	1	11	2290	40	4	10	14	22
0	0	1	12	1999	20	2	2	4	20
0	0	1	12	2000	20	2	7	9	20
0	0	2	0	5024	20	2	17	19	20
0	0	2	0	5025	20	2	17	19	20
0	0	2	1	2653	20	2	9	11	20
0	0	2	1	2666	20	2	20	22	20
0	0	2	2	1095	40	4	19	23	22
0	0	2	3	3280	40	4	19	23	22
0	0	2	4	1553	40	4	18	22	22
0	0	2	5	1957	40	4	18	22	22
0	0	2	6	3739	40	4	13	17	22
0	0	2	7	4772	40	4	11	15	22
0	0	2	8	0538	20	2	6	8	20
0	0	2	8	0554	20	2	4	6	20
0	0	2	9	4394	20	2	7	9	20
0	0	2	9	4395	20	2	1	3	20
0	0	2	10	4192	40	4	6	10	22
0	0	2	11	2414	40	4	3	7	22
0	0	2	12	4082	20	2	1	3	20
0	0	2	12	4083	20	2	2	4	20
0	0	2	13	4596	40	4	3	7	22
0	0	2	14	1051	40	4	1	5	22
0	0	2	15	2583	40	4	1	5	22
0	0	3	0	2431	20	2	17	19	20
0	0	3	0	2466	20	2	3	5	20
0	0	3	1	1654	40	4	19	23	22
0	0	3	2	3351	40	4	19	23	22
0	0	3	3	3762	40	4	19	23	22
0	0	3	4	4855	40	4	17	21	22
0	0	3	5	0560	40	4	16	20	22
0	0	3	6	5216	20	2	2	4	20
0	0	3	6	5228	20	2	13	15	20
0	0	3	7	1123	20	2	10	12	20
0	0	3	7	1136	20	2	3	5	20
0	0	3	8	4528	40	4	12	16	22
0	0	3	9	4248	40	4	11	15	22
0	0	3	10	3097	40	4	10	14	22
0	0	3	11	2204	20	2	1	3	20
0	0	3	11	2206	20	2	8	10	20
0	0	3	12	1430	40	4	5	9	22
0	0	3	13	2927	40	4	4	8	22
0	0	3	14	2052	40	4	3	7	22
0	0	4	0	4006	20	2	10	12	20
0	0	4	0	4015	20	2	20	22	20
0	0	4	1	1560	20	2	9	11	20
0	0	4	1	1561	20	2	12	14	20
0	0	4	2	2827	40	4	21	25	22
0	0	4	3	5078	20	2	6	8	20
0	0	4	3	5079	20	2	14	16	20
0	0	4	4	1087	20	2	17	19	20
0	0	4	4	1102	20	2	2	4	20
0	0	4	5	3444	20	2	8	10	20
0	0	4	5	3445	20	2	10	12	20
0	0	4	6	2181	40	4	17	21	22
0	0	4	7	4652	40	4	16	20	22
0	0	4	8	0572	40	4	15	19	22
0	0	4	9	5487	20	2	0	2	20
0	0	4	9	5494	20	2	14	16	20
0	0	4	10	2627	40	4	6	10	22
0	0	4	11	3292	40	4	4	8	22
0	0	4	12	3839	20	2	1	3	20
0	0	4	12	3857	20	2	3	5	20
0	0	4	13	2021	40	4	0	4	22
0	0	4	14	2091	20	2	0	2	20
0	0	4	14	2108	20	2	0	2	20
0	0	5	0	1387	20	2	12	14	20
0	0	5	0	1388	20	2	19	21	20
0	0	5	1	4164	20	2	14	16	20
0	0	5	1	4165	20	2	11	13	20
0	0	5	2	3705	40	4	20	24	22
0	0	5	3	1026	20	2	14	16	20
0	0	5	3	1034	20	2	5	7	20
0	0	5	4	3050	20	2	16	18	20
0	0	5	4	3063	20	2	2	4	20
0	0	5	5	4725	40	4	18	22	22
0	0	5	6	2109	40	4	14	18	22
0	0	5	7	2774	40	4	14	18	22
0	0	5	8	5149	40	4	14	18	22
0	0	5	9	5454	40	4	10	14	22
0	0	5	10	0571	20	2	1	3	20
0	0	5	10	0579	20	2	8	10	20
0	0	5	11	3497	40	4	6	10	22
0	0	5	12	2475	40	4	4	8	22
0	0	5	13	2652	40	4	1	5	22
0	0	6	0	2077	20	2	15	17	20
0	0	6	0	2078	20	2	12	14	20
0	0	6	1	4721	20	2	17	19	20
0	0	6	1	4741	20	2	8	10	20
0	0	6	2	1602	20	2	16	18	20
0	0	6	2	1627	20	2	5	7	20
0	0	6	3	0584	40	4	20	24	22
0	0	6	4	1214	40	4	17	21	22
0	0	6	5	2742	20	2	5	7	20
0	0	6	5	2743	20	2	12	14	20
0	0	6	6	3136	40	4	16	20	22
0	0	6	7	3503	40	4	15	19	22
0	0	6	8	3862	40	4	15	19	22
0	0	6	9	5274	20	2	10	12	20
0	0	6	9	5275	20	2	1	3	20
0	0	6	10	4472	20	2	10	12	20
0	0	6	10	4473	20	2	0	2	20
0	0	6	11	4213	20	2	8	10	20
0	0	6	11	4214	20	2	0	2	20
0	0	7	0	4399	20	2	20	22	20
0	0	7	0	4400	20	2	8	10	20
0	0	7	1	3690	40	4	21	25	22
0	0	7	2	1146	20	2	13	15	20
0	0	7	2	1147	20	2	5	7	20
0	0	7	3	0599	40	4	17	21	22
0	0	7	4	2022	40	4	16	20	22
0	0	7	5	4979	40	4	16	20	22
0	0	7	6	2432	40	4	14	18	22
0	0	7	7	1566	20	2	5	7	20
0	0	7	7	1581	20	2	7	9	20
0	0	7	8	2822	40	4	12	16	22
0	0	7	9	3391	40	4	10	14	22
0	0	7	10	4175	40	4	8	12	22
0	0	7	11	5348	40	4	7	11	22
0	0	7	12	1870	40	4	4	8	22
0	0	7	13	3104	40	4	4	8	22
0	0	7	14	3239	40	4	4	8	22
0	0	8	0	4411	20	2	18	20	20
0	0	8	0	4412	20	2	12	14	20
0	0	8	1	1677	20	2	4	6	20
0	0	8	1	1695	20	2	19	21	20
0	0	8	2	3408	20	2	7	9	20
0	0	8	2	3409	20	2	14	16	20
0	0	8	3	3892	40	4	21	25	22
0	0	8	4	5041	40	4	20	24	22
0	0	8	5	2211	20	2	5	7	20
0	0	8	5	2212	20	2	14	16	20
0	0	8	6	3071	40	4	14	18	22
0	0	8	7	2693	40	4	11	15	22
0	0	8	8	0608	40	4	10	14	22
0	0	8	9	1053	40	4	10	14	22
0	0	8	10	5473	40	4	10	14	22
0	0	8	11	1405	40	4	9	13	22
0	0	8	12	1273	40	4	4	8	22
0	0	8	13	2957	40	4	2	6	22
0	0	9	0	2020	20	2	19	21	20
0	0	9	0	2028	20	2	16	18	20
0	0	9	1	5404	40	4	22	26	22
0	0	9	2	2837	40	4	21	25	22
0	0	9	3	1161	40	4	20	24	22
0	0	9	4	1631	40	4	18	22	22
0	0	9	5	3291	20	2	2	4	20
0	0	9	5	3294	20	2	14	16	20
0	0	9	6	4902	20	2	15	17	20
0	0	9	6	4933	20	2	0	2	20
0	0	9	7	4247	20	2	11	13	20
0	0	9	7	4259	20	2	3	5	20
0	0	9	8	4603	40	4	14	18	22
0	0	9	9	3701	40	4	12	16	22
0	0	9	10	0616	40	4	7	11	22
0	0	9	11	0974	40	4	6	10	22
0	0	9	12	4092	40	4	6	10	22
0	0	9	13	5312	40	4	2	6	22
0	0	9	14	3979	40	4	1	5	22
0	0	10	0	2753	40	4	20	24	22
0	0	10	1	4099	40	4	19	23	22
0	0	10	2	0933	40	4	17	21	22
0	0	10	3	1567	40	4	15	19	22
0	0	10	4	3266	40	4	14	18	22
0	0	10	5	3631	20	2	6	8	20
0	0	10	5	3641	20	2	7	9	20
0	0	10	6	4679	40	4	10	14	22
0	0	10	7	1277	40	4	9	13	22
0	0	10	8	2118	40	4	9	13	22
0	0	10	9	4940	40	4	8	12	22
0	0	10	10	1923	40	4	6	10	22
0	0	10	11	2543	40	4	5	9	22
0	0	10	12	4509	20	2	1	3	20
0	0	10	12	4510	20	2	4	6	20
0	0	10	13	0623	40	4	4	8	22
0	0	10	14	2355	20	2	2	4	20
0	0	10	14	2371	20	2	2	4	20
0	0	10	15	3944	40	4	3	7	22
0	0	10	16	5189	40	4	3	7	22
0	0	10	17	3208	40	4	1	5	22
0	1	0	0	1272	20	2	13	15	20
0	1	0	0	1285	20	2	18	20	20
0	1	0	1	3723	20	2	15	17	20
0	1	0	1	3743	20	2	13	15	20
0	1	0	2	3078	20	2	10	12	20
0	1	0	2	3079	20	2	16	18	20
0	1	0	3	5282	20	2	15	17	20
0	1	0	3	5302	20	2	8	10	20
0	1	0	4	1966	40	4	18	22	22
0	1	0	5	4779	40	4	18	22	22
0	1	0	6	4333	40	4	17	21	22
0	1	0	7	0965	20	2	6	8	20
0	1	0	7	0980	20	2	8	10	20
0	1	0	8	2773	20	2	3	5	20
0	1	0	8	2782	20	2	11	13	20
0	1	0	9	2416	40	4	12	16	22
0	1	0	10	0626	40	4	7	11	22
0	1	0	11	5176	20	2	2	4	20
0	1	0	11	5178	20	2	1	3	20
0	1	0	12	3688	40	4	0	4	22
0	1	1	0	2259	20	2	19	21	20
0	1	1	0	2260	20	2	17	19	20
0	1	1	1	3452	20	2	17	19	20
0	1	1	1	3464	20	2	15	17	20
0	1	1	2	0944	20	2	20	22	20
0	1	1	2	0945	20	2	11	13	20
0	1	1	3	1734	40	4	22	26	22
0	1	1	4	3029	20	2	11	13	20
0	1	1	4	3039	20	2	7	9	20
0	1	1	5	4651	20	2	9	11	20
0	1	1	5	4664	20	2	6	8	20
0	1	1	6	4424	40	4	11	15	22
0	1	1	7	5040	20	2	9	11	20
0	1	1	7	5049	20	2	2	4	20
0	1	1	8	5313	40	4	10	14	22
0	1	1	9	4180	40	4	8	12	22
0	1	1	10	1587	40	4	5	9	22
0	1	1	11	0615	20	2	4	6	20
0	1	1	11	0629	20	2	0	2	20
0	1	2	0	3087	20	2	8	10	20
0	1	2	0	3088	20	2	14	16	20
0	1	2	1	0631	40	4	21	25	22
0	1	2	2	2158	20	2	5	7	20
0	1	2	2	2159	20	2	16	18	20
0	1	2	3	4955	20	2	1	3	20
0	1	2	3	4956	20	2	18	20	20
0	1	2	4	2699	40	4	17	21	22
0	1	2	5	4556	40	4	17	21	22
0	1	2	6	3950	40	4	16	20	22
0	1	2	7	1512	40	4	15	19	22
0	1	2	8	3598	40	4	15	19	22
0	1	2	9	1221	20	2	3	5	20
0	1	2	9	1238	20	2	9	11	20
0	1	2	10	4310	40	4	9	13	22
0	1	2	11	5364	40	4	9	13	22
0	1	2	12	2005	40	4	4	8	22
0	1	2	13	1895	40	4	2	6	22
0	1	3	0	1647	20	2	16	18	20
0	1	3	0	1660	20	2	12	14	20
0	1	3	1	4568	40	4	18	22	22
0	1	3	2	4990	20	2	7	9	20
0	1	3	2	4991	20	2	10	12	20
0	1	3	3	1250	40	4	16	20	22
0	1	3	4	3240	40	4	15	19	22
0	1	3	5	2723	40	4	13	17	22
