24	22	18
HOLDING CONTAINERS
SectionID	code	length	weight	cargo	TW	cargo capacity
5	6190	20	2	10	12	20
SectionID	x	y	z	code	length	weight	cargo	TW	cargo capacity
--------------------
5	0	0	0	1477	20	2	16	18	20
5	0	0	0	1487	20	2	16	18	20
5	0	0	1	3949	20	2	18	20	20
5	0	0	1	3961	20	2	12	14	20
5	0	0	2	0628	40	4	22	26	22
5	0	0	3	2220	20	2	7	9	20
5	0	0	3	2221	20	2	13	15	20
5	0	0	4	3589	20	2	3	5	20
5	0	0	4	3595	20	2	14	16	20
5	0	0	5	4671	40	4	15	19	22
5	0	0	6	1166	40	4	13	17	22
5	0	0	7	0007	40	4	12	16	22
5	0	0	8	5005	20	2	1	3	20
5	0	0	8	5022	20	2	11	13	20
5	0	0	9	5293	40	4	12	16	22
5	0	0	10	5540	40	4	12	16	22
5	0	0	11	2828	40	4	10	14	22
5	0	0	12	3381	40	4	6	10	22
5	0	0	13	3209	20	2	5	7	20
5	0	0	13	3210	20	2	0	2	20
5	0	0	14	2658	40	4	4	8	22
5	0	0	15	0493	40	4	3	7	22
5	0	0	16	3096	40	4	2	6	22
5	0	0	17	5816	40	4	1	5	22
5	0	1	0	1115	20	2	18	20	20
5	0	1	0	1139	20	2	16	18	20
5	0	1	1	4745	20	2	11	13	20
5	0	1	1	4746	20	2	15	17	20
5	0	1	2	5281	20	2	15	17	20
5	0	1	2	5299	20	2	9	11	20
5	0	1	3	0011	40	4	20	24	22
5	0	1	4	0672	20	2	7	9	20
5	0	1	4	0685	20	2	12	14	20
5	0	1	5	3633	40	4	19	23	22
5	0	1	6	2183	40	4	18	22	22
5	0	1	7	3122	40	4	18	22	22
5	0	1	8	5829	20	2	16	18	20
5	0	1	8	5830	20	2	1	3	20
5	0	1	9	4413	40	4	14	18	22
5	0	1	10	2600	20	2	5	7	20
5	0	1	10	2612	20	2	7	9	20
5	0	1	11	1977	20	2	1	3	20
5	0	1	11	1999	20	2	6	8	20
5	0	1	12	2909	40	4	6	10	22
5	0	1	13	4084	40	4	5	9	22
5	0	1	14	4242	40	4	4	8	22
5	0	1	15	5755	20	2	1	3	20
5	0	1	15	5784	20	2	1	3	20
5	0	1	16	1865	40	4	1	5	22
5	0	1	17	3584	40	4	0	4	22
5	0	2	0	4734	20	2	11	13	20
5	0	2	0	4735	20	2	20	22	20
5	0	2	1	2738	20	2	9	11	20
5	0	2	1	2744	20	2	18	20	20
5	0	2	2	1498	20	2	20	22	20
5	0	2	2	1499	20	2	1	3	20
5	0	2	3	0544	20	2	18	20	20
