24	22	18
HOLDING CONTAINERS
SectionID	code	length	weight	cargo	TW	cargo capacity
0	4985	20	2	19	21	20
1	4994	20	2	7	9	20
2	4999	20	2	20	22	20
3	4987	20	2	2	4	20
SectionID	x	y	z	code	length	weight	cargo	TW	cargo capacity
--------------------
0	0	0	0	0711	20	2	10	12	20
0	0	0	0	0712	20	2	16	18	20
0	0	0	1	3290	40	4	22	26	22
0	0	0	2	4025	20	2	20	22	20
0	0	0	2	4036	20	2	2	4	20
0	0	0	3	4501	40	4	21	25	22
0	0	0	4	1590	20	2	13	15	20
0	0	0	4	1591	20	2	6	8	20
0	0	0	5	2637	40	4	14	18	22
0	0	0	6	2204	40	4	13	17	22
0	0	0	7	0000	40	4	11	15	22
0	0	0	8	1241	20	2	10	12	20
0	0	0	8	1244	20	2	1	3	20
0	0	0	9	3007	20	2	8	10	20
0	0	0	9	3036	20	2	3	5	20
0	0	0	10	0481	40	4	8	12	22
0	0	0	11	3810	40	4	7	11	22
0	0	0	12	2103	40	4	2	6	22
0	0	0	13	2563	40	4	2	6	22
0	0	0	14	2006	40	4	0	4	22
0	0	1	0	4067	20	2	14	16	20
0	0	1	0	4068	20	2	19	21	20
0	0	1	1	0581	20	2	10	12	20
0	0	1	1	0582	20	2	13	15	20
0	0	1	2	0015	40	4	18	22	22
0	0	1	3	3168	40	4	17	21	22
0	0	1	4	1433	40	4	16	20	22
0	0	1	5	2730	20	2	11	13	20
0	0	1	5	2753	20	2	4	6	20
0	0	1	6	2452	20	2	13	15	20
0	0	1	6	2453	20	2	0	2	20
0	0	1	7	4848	40	4	13	17	22
0	0	1	8	2011	40	4	10	14	22
0	0	1	9	3786	40	4	9	13	22
0	0	1	10	3584	40	4	8	12	22
0	0	1	11	1118	40	4	6	10	22
0	0	1	12	1294	40	4	4	8	22
0	0	1	13	1862	40	4	4	8	22
0	0	1	14	2265	40	4	4	8	22
0	0	1	15	4753	40	4	1	5	22
0	0	2	0	3998	20	2	16	18	20
0	0	2	0	3999	20	2	16	18	20
0	0	2	1	2150	20	2	13	15	20
0	0	2	1	2151	20	2	16	18	20
0	0	2	2	0019	20	2	18	20	20
0	0	2	2	0020	20	2	8	10	20
0	0	2	3	2770	40	4	22	26	22
0	0	2	4	3302	20	2	10	12	20
0	0	2	4	3303	20	2	9	11	20
0	0	2	5	4854	40	4	19	23	22
0	0	2	6	1808	40	4	15	19	22
0	0	2	7	1039	40	4	13	17	22
0	0	2	8	0763	20	2	8	10	20
0	0	2	8	0774	20	2	2	4	20
0	0	2	9	1331	40	4	9	13	22
0	0	2	10	3735	40	4	8	12	22
0	0	2	11	4664	40	4	6	10	22
0	0	2	12	1633	20	2	0	2	20
0	0	2	12	1640	20	2	5	7	20
0	0	3	0	3313	20	2	17	19	20
0	0	3	0	3314	20	2	11	13	20
0	0	3	1	1666	20	2	9	11	20
0	0	3	1	1672	20	2	16	18	20
0	0	3	2	0930	40	4	22	26	22
0	0	3	3	3899	40	4	19	23	22
0	0	3	4	0480	20	2	13	15	20
0	0	3	4	0492	20	2	5	7	20
0	0	3	5	2212	40	4	18	22	22
0	0	3	6	4587	40	4	14	18	22
0	0	3	7	2896	40	4	10	14	22
0	0	3	8	0344	20	2	6	8	20
0	0	3	8	0345	20	2	2	4	20
0	0	3	9	1368	20	2	7	9	20
0	0	3	9	1371	20	2	1	3	20
0	0	3	10	2620	20	2	2	4	20
0	0	3	10	2632	20	2	6	8	20
0	0	3	11	4376	40	4	8	12	22
0	0	3	12	4986	40	4	8	12	22
0	0	3	13	3176	40	4	4	8	22
0	0	3	14	0035	40	4	0	4	22
0	0	4	0	0790	20	2	20	22	20
0	0	4	0	0797	20	2	11	13	20
0	0	4	1	4427	40	4	22	26	22
0	0	4	2	1868	40	4	21	25	22
0	0	4	3	2333	40	4	21	25	22
0	0	4	4	4992	40	4	21	25	22
0	0	4	5	2828	40	4	19	23	22
0	0	4	6	1432	20	2	3	5	20
0	0	4	6	1446	20	2	13	15	20
0	0	4	7	3268	40	4	16	20	22
0	0	4	8	3908	40	4	15	19	22
0	0	4	9	3659	40	4	9	13	22
0	0	4	10	0397	40	4	5	9	22
0	0	4	11	0609	40	4	5	9	22
0	0	4	12	0034	20	2	0	2	20
0	0	4	12	0037	20	2	4	6	20
0	0	4	13	4269	40	4	4	8	22
0	0	4	14	0512	40	4	2	6	22
0	0	5	0	1057	20	2	5	7	20
0	0	5	0	1058	20	2	17	19	20
0	0	5	1	3764	20	2	18	20	20
0	0	5	1	3792	20	2	4	6	20
0	0	5	2	1567	40	4	21	25	22
0	0	5	3	4273	40	4	21	25	22
0	0	5	4	2410	20	2	17	19	20
0	0	5	4	2411	20	2	1	3	20
0	0	5	5	3240	40	4	17	21	22
0	0	5	6	2051	40	4	15	19	22
0	0	5	7	4789	40	4	14	18	22
0	0	5	8	0041	40	4	10	14	22
0	0	5	9	2982	40	4	10	14	22
0	0	5	10	0454	40	4	8	12	22
0	0	5	11	0825	40	4	8	12	22
0	0	5	12	0699	40	4	3	7	22
0	0	5	13	2837	40	4	3	7	22
0	0	5	14	3654	40	4	3	7	22
0	0	6	0	0048	40	4	21	25	22
0	0	6	1	4611	40	4	21	25	22
0	0	6	2	1337	40	4	20	24	22
0	0	6	3	4206	40	4	19	23	22
0	0	6	4	0690	20	2	16	18	20
0	0	6	4	0691	20	2	2	4	20
0	0	6	5	2804	20	2	18	20	20
0	0	6	5	2805	20	2	0	2	20
0	0	6	6	3742	20	2	15	17	20
0	0	6	6	3743	20	2	3	5	20
0	0	6	7	3239	20	2	13	15	20
0	0	6	7	3250	20	2	2	4	20
0	0	6	8	2035	20	2	10	12	20
0	0	6	8	2058	20	2	1	3	20
0	0	6	9	2463	20	2	10	12	20
0	0	6	9	2464	20	2	1	3	20
0	0	6	10	1066	20	2	3	5	20
0	0	6	10	1084	20	2	7	9	20
0	0	6	11	1827	40	4	7	11	22
0	0	6	12	3629	40	4	3	7	22
0	0	6	13	2301	40	4	2	6	22
0	0	6	14	2736	40	4	0	4	22
0	0	7	0	3073	20	2	12	14	20
0	0	7	0	3074	20	2	18	20	20
0	0	7	1	3711	20	2	2	4	20
0	0	7	1	3714	20	2	19	21	20
0	0	7	2	1393	20	2	18	20	20
0	0	7	2	1399	20	2	0	2	20
0	0	7	3	1879	40	4	17	21	22
0	0	7	4	4282	40	4	16	20	22
0	0	7	5	4671	40	4	16	20	22
0	0	7	6	0725	40	4	15	19	22
0	0	7	7	1067	40	4	15	19	22
0	0	7	8	0404	40	4	14	18	22
0	0	7	9	2427	40	4	11	15	22
0	0	7	10	2670	40	4	9	13	22
0	0	7	11	0058	20	2	5	7	20
0	0	7	11	0059	20	2	0	2	20
0	0	7	12	2253	40	4	3	7	22
0	0	7	13	2976	40	4	2	6	22
0	0	7	14	4219	40	4	0	4	22
0	0	8	0	3617	20	2	20	22	20
0	0	8	0	3618	20	2	12	14	20
0	0	8	1	1228	20	2	17	19	20
0	0	8	1	1229	20	2	6	8	20
0	0	8	2	1817	20	2	4	6	20
0	0	8	2	1818	20	2	19	21	20
0	0	8	3	3154	40	4	20	24	22
0	0	8	4	0501	20	2	2	4	20
0	0	8	4	0502	20	2	16	18	20
0	0	8	5	4626	40	4	18	22	22
0	0	8	6	2267	40	4	17	21	22
0	0	8	7	2703	40	4	17	21	22
0	0	8	8	0941	40	4	14	18	22
0	0	8	9	4281	20	2	4	6	20
0	0	8	9	4290	20	2	10	12	20
0	0	8	10	0373	40	4	5	9	22
0	0	8	11	0065	40	4	3	7	22
0	0	9	0	1413	20	2	13	15	20
0	0	9	0	1420	20	2	16	18	20
0	0	9	1	2814	20	2	20	22	20
0	0	9	1	2815	20	2	9	11	20
0	0	9	2	0613	40	4	20	24	22
0	0	9	3	4939	40	4	20	24	22
0	0	9	4	2106	40	4	18	22	22
0	0	9	5	3487	40	4	17	21	22
0	0	9	6	1088	40	4	15	19	22
0	0	9	7	3954	20	2	10	12	20
0	0	9	7	3955	20	2	5	7	20
0	0	9	8	4586	20	2	6	8	20
0	0	9	8	4597	20	2	6	8	20
0	0	9	9	2534	40	4	11	15	22
0	0	9	10	4314	40	4	11	15	22
0	0	9	11	0416	40	4	9	13	22
0	0	9	12	0064	20	2	4	6	20
0	0	9	12	0068	20	2	2	4	20
0	0	9	13	3833	40	4	0	4	22
0	0	10	0	3907	20	2	13	15	20
0	0	10	0	3917	20	2	17	19	20
0	0	10	1	2307	20	2	14	16	20
0	0	10	1	2308	20	2	8	10	20
0	0	10	2	2840	40	4	21	25	22
0	0	10	3	0514	40	4	20	24	22
0	0	10	4	1887	40	4	20	24	22
0	0	10	5	4522	20	2	11	13	20
0	0	10	5	4538	20	2	7	9	20
0	0	10	6	1173	40	4	17	21	22
0	0	10	7	0071	40	4	13	17	22
0	0	10	8	3634	40	4	12	16	22
0	0	10	9	1599	40	4	11	15	22
0	0	10	10	3334	40	4	11	15	22
0	0	10	11	0971	40	4	6	10	22
0	1	0	0	4821	20	2	14	16	20
0	1	0	0	4859	20	2	16	18	20
0	1	0	1	0814	20	2	16	18	20
0	1	0	1	0831	20	2	9	11	20
0	1	0	2	4301	20	2	9	11	20
0	1	0	2	4317	20	2	16	18	20
0	1	0	3	2504	40	4	21	25	22
0	1	0	4	0077	40	4	16	20	22
0	1	0	5	1336	20	2	16	18	20
0	1	0	5	1356	20	2	0	2	20
0	1	0	6	3801	40	4	16	20	22
0	1	0	7	2135	40	4	15	19	22
0	1	0	8	3008	40	4	13	17	22
0	1	0	9	0547	40	4	9	13	22
0	1	0	10	1799	40	4	9	13	22
0	1	0	11	3339	40	4	8	12	22
0	1	0	12	3590	20	2	8	10	20
0	1	0	12	3591	20	2	0	2	20
0	1	0	13	4212	40	4	3	7	22
0	1	0	14	2014	40	4	2	6	22
0	1	1	0	0085	20	2	13	15	20
0	1	1	0	0086	20	2	20	22	20
0	1	1	1	1603	40	4	22	26	22
0	1	1	2	3448	40	4	19	23	22
0	1	1	3	0914	20	2	15	17	20
0	1	1	3	0919	20	2	1	3	20
0	1	1	4	2669	20	2	6	8	20
0	1	1	4	2675	20	2	9	11	20
0	1	1	5	3086	40	4	15	19	22
0	1	1	6	4197	40	4	14	18	22
0	1	1	7	4894	40	4	13	17	22
0	1	1	8	2078	40	4	12	16	22
0	1	1	9	1251	40	4	11	15	22
0	1	1	10	4475	20	2	3	5	20
0	1	1	10	4476	20	2	8	10	20
0	1	1	11	3849	40	4	10	14	22
0	1	1	12	2469	20	2	0	2	20
0	1	1	12	2477	20	2	8	10	20
0	1	1	13	4822	40	4	1	5	22
0	1	1	14	2361	40	4	0	4	22
0	1	2	0	1976	20	2	6	8	20
0	1	2	0	1977	20	2	19	21	20
0	1	2	1	0625	40	4	22	26	22
0	1	2	2	3518	20	2	10	12	20
0	1	2	2	3526	20	2	12	14	20
0	1	2	3	0100	20	2	11	13	20
0	1	2	3	0101	20	2	8	10	20
0	1	2	4	1117	20	2	16	18	20
0	1	2	4	1121	20	2	1	3	20
0	1	2	5	1554	40	4	17	21	22
0	1	2	6	4026	40	4	16	20	22
0	1	2	7	2512	40	4	15	19	22
0	1	2	8	4603	20	2	7	9	20
0	1	2	8	4604	20	2	6	8	20
0	1	2	9	2836	20	2	6	8	20
0	1	2	9	2903	20	2	4	6	20
0	1	2	10	4375	20	2	4	6	20
0	1	2	10	4379	20	2	3	5	20
0	1	2	11	3325	40	4	6	10	22
0	1	2	12	4967	40	4	6	10	22
0	1	2	13	3181	40	4	4	8	22
0	1	3	0	0844	20	2	19	21	20
0	1	3	0	0845	20	2	15	17	20
0	1	3	1	2911	20	2	14	16	20
0	1	3	1	2912	20	2	16	18	20
0	1	3	2	3964	40	4	22	26	22
0	1	3	3	1938	40	4	21	25	22
0	1	3	4	4439	40	4	18	22	22
0	1	3	5	3561	40	4	17	21	22
0	1	3	6	1617	40	4	13	17	22
0	1	3	7	0430	40	4	12	16	22
0	1	3	8	2579	40	4	12	16	22
0	1	3	9	0114	20	2	0	2	20
0	1	3	9	0115	20	2	9	11	20
0	1	3	10	4876	40	4	9	13	22
0	1	3	11	2363	40	4	5	9	22
0	1	3	12	0756	40	4	1	5	22
0	1	4	0	1646	20	2	8	10	20
0	1	4	0	1647	20	2	18	20	20
0	1	4	1	3571	20	2	6	8	20
0	1	4	1	3572	20	2	20	22	20
0	1	4	2	0856	40	4	21	25	22
0	1	4	3	4145	40	4	20	24	22
0	1	4	4	4550	40	4	20	24	22
0	1	4	5	0420	40	4	19	23	22
0	1	4	6	2867	40	4	19	23	22
0	1	4	7	2491	40	4	15	19	22
0	1	4	8	1293	20	2	8	10	20
0	1	4	8	1299	20	2	4	6	20
0	1	4	9	2221	40	4	10	14	22
0	1	4	10	3330	40	4	8	12	22
0	1	4	11	0118	40	4	7	11	22
0	1	5	0	4893	20	2	10	12	20
0	1	5	0	4901	20	2	20	22	20
0	1	5	1	1686	20	2	13	15	20
0	1	5	1	1687	20	2	14	16	20
0	1	5	2	3407	20	2	20	22	20
0	1	5	2	3409	20	2	5	7	20
0	1	5	3	3978	40	4	21	25	22
0	1	5	4	0124	40	4	16	20	22
0	1	5	5	2760	20	2	7	9	20
0	1	5	5	2778	20	2	9	11	20
0	1	5	6	2470	40	4	14	18	22
0	1	5	7	4560	40	4	12	16	22
0	1	5	8	1161	40	4	11	15	22
0	1	5	9	1407	20	2	3	5	20
0	1	5	9	1408	20	2	4	6	20
0	1	5	10	3210	40	4	7	11	22
0	1	5	11	2239	20	2	2	4	20
0	1	5	11	2242	20	2	4	6	20
0	1	5	12	0865	40	4	4	8	22
0	1	5	13	0998	40	4	4	8	22
0	1	5	14	0554	40	4	3	7	22
0	1	5	15	0731	40	4	3	7	22
0	1	5	16	4447	40	4	3	7	22
0	1	6	0	4788	20	2	19	21	20
0	1	6	0	4795	20	2	20	22	20
0	1	6	1	0377	20	2	15	17	20
0	1	6	1	0378	20	2	17	19	20
0	1	6	2	2279	20	2	17	19	20
0	1	6	2	2280	20	2	13	15	20
0	1	6	3	3834	40	4	15	19	22
0	1	6	4	1992	20	2	3	5	20
0	1	6	4	1993	20	2	10	12	20
0	1	6	5	4221	40	4	13	17	22
0	1	6	6	1348	40	4	12	16	22
0	1	6	7	1731	40	4	12	16	22
0	1	6	8	1031	40	4	10	14	22
0	1	6	9	2988	40	4	10	14	22
0	1	6	10	3259	40	4	10	14	22
0	1	6	11	3655	40	4	7	11	22
0	1	6	12	4515	40	4	7	11	22
0	1	6	13	0136	40	4	3	7	22
0	1	6	14	3560	40	4	3	7	22
0	1	6	15	1257	40	4	0	4	22
0	1	7	0	3217	20	2	19	21	20
0	1	7	0	3218	20	2	10	12	20
0	1	7	1	3800	20	2	6	8	20
0	1	7	1	3821	20	2	20	22	20
