24	22	18
HOLDING CONTAINERS
SectionID	code	length	weight	cargo	TW	cargo capacity
5	6278	20	2	3	5	20
2	6297	20	2	4	6	20
SectionID	x	y	z	code	length	weight	cargo	TW	cargo capacity
--------------------
1	0	0	0	2248	20	2	10	12	20
1	0	0	0	2249	20	2	11	13	20
1	0	0	1	3731	20	2	18	20	20
1	0	0	1	3732	20	2	3	5	20
1	0	0	2	0002	40	4	20	24	22
1	0	0	3	4328	20	2	19	21	20
1	0	0	3	4329	20	2	1	3	20
1	0	0	4	4803	40	4	18	22	22
1	0	0	5	2712	40	4	16	20	22
1	0	0	6	1877	40	4	15	19	22
1	0	0	7	1281	40	4	13	17	22
1	0	0	8	3141	40	4	13	17	22
1	0	0	9	5236	20	2	0	2	20
1	0	0	9	5237	20	2	11	13	20
1	0	0	10	1113	40	4	8	12	22
1	0	0	11	0630	20	2	0	2	20
1	0	0	11	0631	20	2	7	9	20
1	0	0	12	0865	40	4	7	11	22
1	0	0	13	3489	40	4	5	9	22
1	0	0	14	1643	40	4	3	7	22
1	0	0	15	3659	40	4	3	7	22
1	0	0	16	1783	40	4	1	5	22
1	0	0	17	4246	40	4	1	5	22
1	0	1	0	2010	20	2	17	19	20
1	0	1	0	2015	20	2	16	18	20
1	0	1	1	0001	20	2	14	16	20
1	0	1	1	0015	20	2	10	12	20
1	0	1	2	5069	40	4	20	24	22
1	0	1	3	1582	20	2	2	4	20
1	0	1	3	1583	20	2	16	18	20
1	0	1	4	2906	40	4	16	20	22
1	0	1	5	1169	40	4	15	19	22
1	0	1	6	3983	20	2	4	6	20
1	0	1	6	4001	20	2	11	13	20
1	0	1	7	4688	20	2	13	15	20
1	0	1	7	4689	20	2	2	4	20
1	0	1	8	3422	40	4	14	18	22
1	0	1	9	3728	40	4	12	16	22
1	0	1	10	0931	40	4	10	14	22
1	0	1	11	4394	40	4	8	12	22
1	0	1	12	2695	40	4	4	8	22
1	0	1	13	3237	40	4	2	6	22
1	0	1	14	0710	40	4	1	5	22
1	0	1	15	0771	40	4	1	5	22
1	0	1	16	4623	40	4	0	4	22
1	0	1	17	5487	40	4	0	4	22
1	0	2	0	3500	20	2	18	20	20
1	0	2	0	3501	20	2	19	21	20
1	0	2	1	4833	20	2	19	21	20
1	0	2	1	4834	20	2	16	18	20
1	0	2	2	1394	40	4	21	25	22
1	0	2	3	0937	20	2	14	16	20
1	0	2	3	0938	20	2	6	8	20
1	0	2	4	0479	20	2	10	12	20
1	0	2	4	0490	20	2	7	9	20
1	0	2	5	3068	40	4	17	21	22
1	0	2	6	2531	40	4	16	20	22
1	0	2	7	0025	40	4	13	17	22
1	0	2	8	4256	20	2	5	7	20
1	0	2	8	4260	20	2	6	8	20
1	0	2	9	5634	40	4	10	14	22
1	0	2	10	2104	40	4	9	13	22
1	0	2	11	1884	40	4	8	12	22
1	0	2	12	4624	40	4	7	11	22
1	0	2	13	5812	40	4	6	10	22
1	0	2	14	2403	40	4	5	9	22
1	0	2	15	5490	40	4	5	9	22
1	0	2	16	2989	40	4	3	7	22
1	0	2	17	4534	40	4	0	4	22
1	0	3	0	2190	20	2	19	21	20
1	0	3	0	2191	20	2	11	13	20
1	0	3	1	1144	20	2	11	13	20
1	0	3	1	1158	20	2	16	18	20
1	0	3	2	3742	40	4	22	26	22
1	0	3	3	4713	20	2	15	17	20
1	0	3	3	4719	20	2	4	6	20
1	0	3	4	0034	40	4	18	22	22
1	0	3	5	5622	40	4	18	22	22
1	0	3	6	1784	40	4	16	20	22
1	0	3	7	4400	40	4	14	18	22
1	0	3	8	0725	40	4	13	17	22
1	0	3	9	5203	40	4	13	17	22
1	0	3	10	3034	40	4	9	13	22
1	0	3	11	3283	40	4	9	13	22
1	0	3	12	3588	40	4	8	12	22
1	0	3	13	5480	40	4	8	12	22
1	0	3	14	2845	40	4	6	10	22
1	0	3	15	0594	40	4	3	7	22
1	0	3	16	4267	40	4	3	7	22
1	0	3	17	1119	20	2	1	3	20
1	0	3	17	1120	20	2	0	2	20
1	0	4	0	1603	20	2	14	16	20
1	0	4	0	1604	20	2	15	17	20
1	0	4	1	0355	40	4	20	24	22
1	0	4	2	0750	40	4	19	23	22
1	0	4	3	5548	40	4	18	22	22
1	0	4	4	2614	40	4	17	21	22
1	0	4	5	3426	40	4	17	21	22
1	0	4	6	2221	40	4	16	20	22
1	0	4	7	4137	40	4	16	20	22
1	0	4	8	1221	40	4	14	18	22
1	0	4	9	3797	20	2	14	16	20
1	0	4	9	3798	20	2	0	2	20
1	0	4	10	4502	40	4	14	18	22
1	0	4	11	5158	40	4	13	17	22
1	0	4	12	4884	40	4	10	14	22
1	0	4	13	5843	20	2	3	5	20
1	0	4	13	5844	20	2	5	7	20
1	0	4	14	3214	40	4	6	10	22
1	0	4	15	3003	20	2	1	3	20
1	0	4	15	3039	20	2	4	6	20
1	0	4	16	5438	40	4	4	8	22
1	0	4	17	0042	40	4	3	7	22
1	0	5	0	2790	20	2	18	20	20
1	0	5	0	2791	20	2	17	19	20
1	0	5	1	3879	20	2	8	10	20
1	0	5	1	3889	20	2	12	14	20
1	0	5	2	4873	40	4	17	21	22
1	0	5	3	1980	40	4	15	19	22
1	0	5	4	3592	20	2	0	2	20
1	0	5	4	3593	20	2	15	17	20
1	0	5	5	2454	40	4	14	18	22
1	0	5	6	0730	40	4	13	17	22
1	0	5	7	4509	40	4	13	17	22
1	0	5	8	1645	40	4	12	16	22
1	0	5	9	0048	40	4	8	12	22
1	0	5	10	0567	40	4	6	10	22
1	0	5	11	1121	20	2	6	8	20
1	0	5	11	1122	20	2	0	2	20
1	0	5	12	4373	40	4	5	9	22
1	0	5	13	0414	40	4	4	8	22
1	0	5	14	1416	40	4	3	7	22
1	0	5	15	1269	40	4	2	6	22
1	0	5	16	1566	40	4	1	5	22
1	0	5	17	2360	40	4	1	5	22
1	0	6	0	1652	20	2	20	22	20
1	0	6	0	1653	20	2	9	11	20
1	0	6	1	2359	20	2	19	21	20
1	0	6	1	2361	20	2	3	5	20
1	0	6	2	5817	40	4	19	23	22
1	0	6	3	5522	20	2	4	6	20
1	0	6	3	5523	20	2	14	16	20
1	0	6	4	0639	40	4	17	21	22
1	0	6	5	3833	40	4	17	21	22
1	0	6	6	3121	40	4	16	20	22
1	0	6	7	4535	20	2	6	8	20
1	0	6	7	4536	20	2	10	12	20
1	0	6	8	5242	40	4	16	20	22
1	0	6	9	1099	40	4	15	19	22
1	0	6	10	3530	40	4	13	17	22
1	0	6	11	4219	40	4	13	17	22
1	0	6	12	0033	20	2	8	10	20
1	0	6	12	0052	20	2	3	5	20
1	0	6	13	4949	20	2	11	13	20
1	0	6	13	4950	20	2	0	2	20
1	0	6	14	1433	40	4	9	13	22
1	0	6	15	0470	40	4	5	9	22
1	0	6	16	2850	40	4	5	9	22
1	0	6	17	3031	40	4	1	5	22
1	0	7	0	4469	20	2	12	14	20
1	0	7	0	4479	20	2	12	14	20
1	0	7	1	0993	20	2	18	20	20
1	0	7	1	0994	20	2	5	7	20
1	0	7	2	2277	40	4	21	25	22
1	0	7	3	4008	40	4	21	25	22
1	0	7	4	2977	20	2	10	12	20
