This file contains information about the containers on an already loaded ship.
The sorting is already done when loading the containers.
Ship dimensions (length, width, height): 
24	22	18
Dimensions for each section (length, width, max_height): 
4	11	18
--------------------
0
This section has a holding container with the following information:
code	length	weight	cargo	TW	cargo capacity
4985	20	2	19	21	20
--------------------
Stack at (0, 0), in section: 0
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(0,	 0,	 0)	None	None	None	None	None	None
(0,	 0,	 1)	None	None	None	None	None	None
(0,	 0,	 2)	None	None	None	None	None	None
(0,	 0,	 3)	None	None	None	None	None	None
(0,	 0,	 4)	None	None	None	None	None	None
(0,	 0,	 5)	None	None	None	None	None	None
(0,	 0,	 6)	None	None	None	None	None	None
(0,	 0,	 7)	None	None	None	None	None	None
(0,	 0,	 8)	None	None	None	None	None	None
(0,	 0,	 9)	None	None	None	None	None	None
(0,	 0,	 10)	None	None	None	None	None	None
(0,	 0,	 11)	None	None	None	None	None	None
(0,	 0,	 12)	None	None	None	None	None	None
(0,	 0,	 13)	None	None	None	None	None	None
(0,	 0,	 14)	None	None	None	None	None	None
(0,	 0,	 15)	None	None	None	None	None	None
(0,	 0,	 16)	None	None	None	None	None	None
(0,	 0,	 17)	None	None	None	None	None	None
Stack at (0, 1), in section: 0
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(0,	 1,	 0)	None	None	None	None	None	None
(0,	 1,	 1)	None	None	None	None	None	None
(0,	 1,	 2)	None	None	None	None	None	None
(0,	 1,	 3)	None	None	None	None	None	None
(0,	 1,	 4)	None	None	None	None	None	None
(0,	 1,	 5)	None	None	None	None	None	None
(0,	 1,	 6)	None	None	None	None	None	None
(0,	 1,	 7)	None	None	None	None	None	None
(0,	 1,	 8)	None	None	None	None	None	None
(0,	 1,	 9)	None	None	None	None	None	None
(0,	 1,	 10)	None	None	None	None	None	None
(0,	 1,	 11)	None	None	None	None	None	None
(0,	 1,	 12)	None	None	None	None	None	None
(0,	 1,	 13)	None	None	None	None	None	None
(0,	 1,	 14)	None	None	None	None	None	None
(0,	 1,	 15)	None	None	None	None	None	None
(0,	 1,	 16)	None	None	None	None	None	None
(0,	 1,	 17)	None	None	None	None	None	None
Stack at (0, 2), in section: 0
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(0,	 2,	 0)	None	None	None	None	None	None
(0,	 2,	 1)	None	None	None	None	None	None
(0,	 2,	 2)	None	None	None	None	None	None
(0,	 2,	 3)	None	None	None	None	None	None
(0,	 2,	 4)	None	None	None	None	None	None
(0,	 2,	 5)	None	None	None	None	None	None
(0,	 2,	 6)	None	None	None	None	None	None
(0,	 2,	 7)	None	None	None	None	None	None
(0,	 2,	 8)	None	None	None	None	None	None
(0,	 2,	 9)	None	None	None	None	None	None
(0,	 2,	 10)	None	None	None	None	None	None
(0,	 2,	 11)	None	None	None	None	None	None
(0,	 2,	 12)	None	None	None	None	None	None
(0,	 2,	 13)	None	None	None	None	None	None
(0,	 2,	 14)	None	None	None	None	None	None
(0,	 2,	 15)	None	None	None	None	None	None
(0,	 2,	 16)	None	None	None	None	None	None
(0,	 2,	 17)	None	None	None	None	None	None
Stack at (0, 3), in section: 0
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(0,	 3,	 0)	None	None	None	None	None	None
(0,	 3,	 1)	None	None	None	None	None	None
(0,	 3,	 2)	None	None	None	None	None	None
(0,	 3,	 3)	None	None	None	None	None	None
(0,	 3,	 4)	None	None	None	None	None	None
(0,	 3,	 5)	None	None	None	None	None	None
(0,	 3,	 6)	None	None	None	None	None	None
