This file contains information about the containers on an already loaded ship.
The sorting is already done when loading the containers.
Ship dimensions (length, width, height): 
24	22	18
Dimensions for each section (length, width, max_height): 
4	11	18
--------------------
Section 3
This section has no holding container
--------------------
Stack at (0, 0), in section: 3
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(0,	 0,	 0)	1798	20	2	18	20	20
(0,	 0,	 0)	1799	20	2	10	12	20
(0,	 0,	 1)	0005	20	2	15	17	20
(0,	 0,	 1)	0006	20	2	12	14	20
(0,	 0,	 2)	2966	40	4	21	25	22
(0,	 0,	 3)	3458	20	2	18	20	20
(0,	 0,	 3)	3463	20	2	3	5	20
(0,	 0,	 4)	4713	40	4	20	24	22
(0,	 0,	 5)	5342	40	4	19	23	22
(0,	 0,	 6)	3995	20	2	4	6	20
(0,	 0,	 6)	4005	20	2	13	15	20
(0,	 0,	 7)	6051	20	2	4	6	20
(0,	 0,	 7)	6052	20	2	13	15	20
(0,	 0,	 8)	1168	40	4	16	20	22
(0,	 0,	 9)	0795	40	4	15	19	22
(0,	 0,	 10)	2447	40	4	12	16	22
(0,	 0,	 11)	5947	40	4	12	16	22
(0,	 0,	 12)	4423	40	4	11	15	22
(0,	 0,	 13)	5722	40	4	11	15	22
(0,	 0,	 14)	1560	40	4	10	14	22
(0,	 0,	 15)	2732	40	4	7	11	22
(0,	 0,	 16)	5229	40	4	1	5	22
(0,	 0,	 17)	3922	40	4	0	4	22
Stack at (0, 1), in section: 3
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(0,	 1,	 0)	5057	20	2	20	22	20
(0,	 1,	 0)	5058	20	2	12	14	20
(0,	 1,	 1)	0467	20	2	3	5	20
(0,	 1,	 1)	0477	20	2	19	21	20
(0,	 1,	 2)	4052	20	2	5	7	20
(0,	 1,	 2)	4077	20	2	17	19	20
(0,	 1,	 3)	4577	40	4	21	25	22
(0,	 1,	 4)	1849	20	2	7	9	20
(0,	 1,	 4)	1862	20	2	9	11	20
(0,	 1,	 5)	2456	40	4	16	20	22
(0,	 1,	 6)	1073	40	4	15	19	22
(0,	 1,	 7)	2845	40	4	13	17	22
(0,	 1,	 8)	3613	40	4	11	15	22
(0,	 1,	 9)	3329	40	4	10	14	22
(0,	 1,	 10)	0020	40	4	9	13	22
(0,	 1,	 11)	1461	40	4	9	13	22
(0,	 1,	 12)	3859	40	4	6	10	22
(0,	 1,	 13)	2249	40	4	5	9	22
(0,	 1,	 14)	3172	40	4	3	7	22
(0,	 1,	 15)	0933	40	4	2	6	22
(0,	 1,	 16)	1736	40	4	2	6	22
(0,	 1,	 17)	1685	40	4	0	4	22
Stack at (0, 2), in section: 3
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(0,	 2,	 0)	4619	20	2	19	21	20
(0,	 2,	 0)	4627	20	2	19	21	20
(0,	 2,	 1)	0614	20	2	16	18	20
(0,	 2,	 1)	0617	20	2	19	21	20
(0,	 2,	 2)	2986	20	2	19	21	20
