24	22	18
HOLDING CONTAINERS
SectionID	code	length	weight	cargo	TW	cargo capacity
4	6848	20	2	15	17	20
5	6879	20	2	10	12	20
SectionID	x	y	z	code	length	weight	cargo	TW	cargo capacity
--------------------
2	0	0	0	1380	20	2	14	16	20
2	0	0	0	1381	20	2	16	18	20
2	0	0	1	3179	20	2	20	22	20
2	0	0	1	3180	20	2	6	8	20
2	0	0	2	2018	20	2	18	20	20
2	0	0	2	2029	20	2	7	9	20
2	0	0	3	2630	20	2	11	13	20
2	0	0	3	2691	20	2	9	11	20
2	0	0	4	4827	40	4	20	24	22
2	0	0	5	5309	40	4	19	23	22
2	0	0	6	5874	40	4	18	22	22
2	0	0	7	0996	40	4	15	19	22
2	0	0	8	3745	40	4	15	19	22
2	0	0	9	6512	40	4	13	17	22
2	0	0	10	4304	20	2	5	7	20
2	0	0	10	4328	20	2	4	6	20
2	0	0	11	0541	40	4	8	12	22
2	0	0	12	6351	40	4	8	12	22
2	0	0	13	4601	40	4	7	11	22
2	0	0	14	4158	40	4	6	10	22
2	0	0	15	5751	40	4	5	9	22
2	0	0	16	6234	20	2	4	6	20
2	0	0	16	6242	20	2	1	3	20
2	0	0	17	2637	40	4	0	4	22
2	0	1	0	1590	40	4	21	25	22
2	0	1	1	0548	40	4	20	24	22
2	0	1	2	2139	20	2	19	21	20
2	0	1	2	2140	20	2	1	3	20
2	0	1	3	4463	20	2	1	3	20
2	0	1	3	4464	20	2	19	21	20
2	0	1	4	3068	20	2	3	5	20
2	0	1	4	3106	20	2	16	18	20
2	0	1	5	4934	40	4	18	22	22
2	0	1	6	1198	40	4	16	20	22
2	0	1	7	5694	40	4	15	19	22
2	0	1	8	2631	40	4	14	18	22
2	0	1	9	5362	40	4	14	18	22
2	0	1	10	6191	40	4	13	17	22
2	0	1	11	3564	40	4	12	16	22
2	0	1	12	6370	20	2	12	14	20
2	0	1	12	6371	20	2	0	2	20
2	0	1	13	4182	20	2	3	5	20
2	0	1	13	4183	20	2	7	9	20
2	0	1	14	2931	20	2	0	2	20
2	0	1	14	2932	20	2	4	6	20
2	0	1	15	3907	40	4	4	8	22
2	0	1	16	6051	40	4	3	7	22
2	0	1	17	4089	40	4	2	6	22
2	0	2	0	6071	20	2	19	21	20
2	0	2	0	6072	20	2	16	18	20
2	0	2	1	2091	20	2	16	18	20
2	0	2	1	2102	20	2	8	10	20
2	0	2	2	1447	20	2	10	12	20
2	0	2	2	1457	20	2	12	14	20
2	0	2	3	4162	40	4	22	26	22
2	0	2	4	5269	40	4	21	25	22
2	0	2	5	3647	20	2	9	11	20
2	0	2	5	3650	20	2	10	12	20
2	0	2	6	5723	20	2	3	5	20
2	0	2	6	5724	20	2	13	15	20
2	0	2	7	2662	40	4	15	19	22
2	0	2	8	3362	40	4	14	18	22
2	0	2	9	0924	20	2	10	12	20
2	0	2	9	0946	20	2	1	3	20
2	0	2	10	3031	40	4	11	15	22
2	0	2	11	4820	40	4	11	15	22
2	0	2	12	6553	20	2	2	4	20
2	0	2	12	6572	20	2	7	9	20
2	0	2	13	1210	40	4	8	12	22
2	0	2	14	0547	20	2	3	5	20
2	0	2	14	0558	20	2	2	4	20
2	0	2	15	4669	40	4	3	7	22
2	0	2	16	5095	40	4	3	7	22
2	0	2	17	1983	40	4	2	6	22
2	0	3	0	1815	20	2	18	20	20
2	0	3	0	1820	20	2	17	19	20
2	0	3	1	4668	20	2	7	9	20
2	0	3	1	4675	20	2	15	17	20
2	0	3	2	2744	40	4	21	25	22
2	0	3	3	3256	40	4	17	21	22
2	0	3	4	5601	40	4	16	20	22
2	0	3	5	4003	40	4	14	18	22
2	0	3	6	4320	40	4	13	17	22
2	0	3	7	1322	40	4	12	16	22
2	0	3	8	5968	40	4	12	16	22
2	0	3	9	0943	40	4	7	11	22
2	0	3	10	5134	40	4	7	11	22
2	0	3	11	5428	40	4	7	11	22
2	0	3	12	1109	40	4	5	9	22
2	0	3	13	1597	40	4	5	9	22
2	0	3	14	2604	20	2	3	5	20
2	0	3	14	2605	20	2	2	4	20
2	0	3	15	0563	40	4	4	8	22
2	0	3	16	3797	40	4	4	8	22
2	0	3	17	3642	40	4	3	7	22
2	0	4	0	5732	20	2	13	15	20
2	0	4	0	5733	20	2	16	18	20
2	0	4	1	0568	20	2	7	9	20
2	0	4	1	0569	20	2	18	20	20
2	0	4	2	3661	20	2	20	22	20
2	0	4	2	3662	20	2	5	7	20
2	0	4	3	2315	20	2	4	6	20
2	0	4	3	2321	20	2	20	22	20
2	0	4	4	5277	40	4	21	25	22
2	0	4	5	6267	20	2	10	12	20
2	0	4	5	6268	20	2	11	13	20
2	0	4	6	4784	40	4	19	23	22
2	0	4	7	1467	20	2	8	10	20
2	0	4	7	1468	20	2	6	8	20
2	0	4	8	1855	20	2	2	4	20
2	0	4	8	1856	20	2	12	14	20
2	0	4	9	3367	40	4	14	18	22
2	0	4	10	4276	40	4	14	18	22
2	0	4	11	6621	20	2	7	9	20
2	0	4	11	6622	20	2	7	9	20
2	0	4	12	2978	40	4	13	17	22
2	0	4	13	2844	40	4	4	8	22
2	0	4	14	4607	40	4	4	8	22
2	0	4	15	1374	40	4	3	7	22
