23	14	18
y	x	z	ContainerCode	Container Length	Weight	Cargo	Cargo Capacity
0	0	0	01	20	2	16	20
1	0	0	02	40	4	3	22
2	0	0	02	40	4	3	22
3	0	0	03	20	2	20	20
4	0	0	04	20	2	19	20
5	0	0	05	40	4	9	22
6	0	0	05	40	4	9	22
7	0	0	06	20	2	14	20
8	0	0	07	20	2	13	20
9	0	0	08	20	2	13	20
10	0	0	09	20	2	12	20
11	0	0	10	20	2	6	20
12	0	0	11	40	4	3	22
13	0	0	11	40	4	3	22
14	0	0	12	20	2	8	20
15	0	0	13	20	2	16	20
16	0	0	14	20	2	13	20
17	0	0	15	20	2	15	20
18	0	0	16	20	2	4	20
19	0	0	17	40	4	21	22
20	0	0	17	40	4	21	22
21	0	0	18	20	2	2	20
22	0	0	21	20	2	4	20
0	1	0	19	40	4	3	22
1	1	0	19	40	4	3	22
2	1	0	20	40	4	11	22
3	1	0	20	40	4	11	22
4	1	0	22	20	2	7	20
5	1	0	23	40	4	20	22
6	1	0	23	40	4	20	22
7	1	0	24	40	4	15	22
8	1	0	24	40	4	15	22
9	1	0	25	40	4	6	22
10	1	0	25	40	4	6	22
11	1	0	26	40	4	13	22
12	1	0	26	40	4	13	22
13	1	0	27	20	2	6	20
14	1	0	28	20	2	0	20
15	1	0	29	40	4	14	22
16	1	0	29	40	4	14	22
17	1	0	30	20	2	1	20
18	1	0	31	40	4	12	22
19	1	0	31	40	4	12	22
20	1	0	32	40	4	7	22
21	1	0	32	40	4	7	22
22	1	0	37	20	2	11	20
0	2	0	33	40	4	5	22
1	2	0	33	40	4	5	22
2	2	0	34	40	4	21	22
3	2	0	34	40	4	21	22
4	2	0	35	40	4	19	22
5	2	0	35	40	4	19	22
6	2	0	36	40	4	3	22
7	2	0	36	40	4	3	22
8	2	0	38	40	4	2	22
9	2	0	38	40	4	2	22
10	2	0	39	20	2	11	20
11	2	0	40	40	4	8	22
12	2	0	40	40	4	8	22
13	2	0	41	20	2	10	20
14	2	0	42	20	2	7	20
15	2	0	43	20	2	16	20
16	2	0	44	40	4	17	22
17	2	0	44	40	4	17	22
18	2	0	45	20	2	4	20
19	2	0	46	20	2	9	20
20	2	0	47	40	4	18	22
21	2	0	47	40	4	18	22
22	2	0	51	20	2	6	20
0	3	0	48	40	4	19	22
1	3	0	48	40	4	19	22
2	3	0	49	40	4	15	22
3	3	0	49	40	4	15	22
4	3	0	50	40	4	4	22
5	3	0	50	40	4	4	22
6	3	0	52	40	4	0	22
7	3	0	52	40	4	0	22
8	3	0	53	20	2	19	20
9	3	0	54	20	2	1	20
10	3	0	55	40	4	5	22
11	3	0	55	40	4	5	22
12	3	0	56	40	4	16	22
13	3	0	56	40	4	16	22
14	3	0	57	40	4	5	22
15	3	0	57	40	4	5	22
16	3	0	58	40	4	2	22
17	3	0	58	40	4	2	22
18	3	0	59	20	2	18	20
19	3	0	60	20	2	6	20
20	3	0	61	20	2	2	20
21	3	0	62	40	4	11	22
22	3	0	62	40	4	11	22
0	4	0	63	20	2	0	20
1	4	0	64	40	4	7	22
2	4	0	64	40	4	7	22
3	4	0	65	20	2	8	20
4	4	0	66	40	4	12	22
5	4	0	66	40	4	12	22
6	4	0	67	40	4	21	22
7	4	0	67	40	4	21	22
8	4	0	68	40	4	6	22
9	4	0	68	40	4	6	22
10	4	0	69	40	4	17	22
11	4	0	69	40	4	17	22
12	4	0	70	20	2	19	20
13	4	0	71	20	2	18	20
14	4	0	72	40	4	15	22
15	4	0	72	40	4	15	22
16	4	0	73	20	2	16	20
17	4	0	74	40	4	4	22
18	4	0	74	40	4	4	22
19	4	0	75	20	2	10	20
20	4	0	76	40	4	17	22
21	4	0	76	40	4	17	22
22	4	0	77	20	2	12	20
0	5	0	78	40	4	7	22
1	5	0	78	40	4	7	22
2	5	0	79	40	4	22	22
3	5	0	79	40	4	22	22
4	5	0	80	40	4	18	22
5	5	0	80	40	4	18	22
6	5	0	81	40	4	16	22
7	5	0	81	40	4	16	22
8	5	0	82	20	2	3	20
9	5	0	83	40	4	13	22
10	5	0	83	40	4	13	22
11	5	0	84	40	4	4	22
12	5	0	84	40	4	4	22
13	5	0	85	40	4	13	22
14	5	0	85	40	4	13	22
15	5	0	86	40	4	22	22
16	5	0	86	40	4	22	22
17	5	0	87	40	4	6	22
18	5	0	87	40	4	6	22
19	5	0	88	40	4	6	22
20	5	0	88	40	4	6	22
21	5	0	89	40	4	16	22
22	5	0	89	40	4	16	22
0	6	0	90	40	4	8	22
1	6	0	90	40	4	8	22
2	6	0	91	40	4	20	22
3	6	0	91	40	4	20	22
4	6	0	92	40	4	22	22
5	6	0	92	40	4	22	22
6	6	0	93	20	2	6	20
7	6	0	94	20	2	11	20
8	6	0	95	40	4	2	22
9	6	0	95	40	4	2	22
10	6	0	96	20	2	12	20
11	6	0	97	40	4	17	22
12	6	0	97	40	4	17	22
13	6	0	98	20	2	8	20
14	6	0	99	20	2	7	20
15	6	0	100	40	4	22	22
16	6	0	100	40	4	22	22
17	6	0	101	20	2	2	20
18	6	0	102	40	4	3	22
19	6	0	102	40	4	3	22
20	6	0	103	40	4	4	22
21	6	0	103	40	4	4	22
22	6	0	105	20	2	19	20
0	7	0	104	40	4	3	22
1	7	0	104	40	4	3	22
2	7	0	106	20	2	10	20
3	7	0	107	40	4	6	22
4	7	0	107	40	4	6	22
5	7	0	108	20	2	15	20
6	7	0	109	20	2	11	20
7	7	0	110	20	2	4	20
