23	22	18
y	x	z	ContainerCode	Container Length	Weight	Cargo	Cargo Capacity
2	0	0	01	40	4	14	22
3	0	0	01	40	4	14	22
6	0	0	02	40	4	16	22
7	0	0	02	40	4	16	22
10	0	0	03	40	4	19	22
11	0	0	03	40	4	19	22
13	0	0	04	20	2	20	20
15	0	0	05	20	2	0	20
17	0	0	06	20	2	3	20
19	0	0	07	20	2	14	20
0	1	0	08	40	4	2	22
1	1	0	08	40	4	2	22
2	1	0	09	20	2	5	20
4	1	0	10	20	2	1	20
6	1	0	11	20	2	5	20
9	1	0	12	40	4	2	22
10	1	0	12	40	4	2	22
13	1	0	13	40	4	15	22
14	1	0	13	40	4	15	22
16	1	0	14	20	2	2	20
19	1	0	15	40	4	11	22
20	1	0	15	40	4	11	22
0	2	0	16	40	4	17	22
1	2	0	16	40	4	17	22
4	2	0	17	40	4	3	22
5	2	0	17	40	4	3	22
8	2	0	18	40	4	17	22
9	2	0	18	40	4	17	22
11	2	0	19	20	2	7	20
14	2	0	20	40	4	19	22
15	2	0	20	40	4	19	22
18	2	0	21	40	4	17	22
19	2	0	21	40	4	17	22
21	2	0	22	20	2	4	20
0	3	0	23	20	2	10	20
2	3	0	24	20	2	19	20
4	3	0	25	20	2	11	20
6	3	0	26	20	2	0	20
8	3	0	27	20	2	6	20
11	3	0	28	40	4	10	22
12	3	0	28	40	4	10	22
14	3	0	29	20	2	5	20
17	3	0	30	40	4	6	22
18	3	0	30	40	4	6	22
20	3	0	31	20	2	18	20
22	3	0	32	20	2	15	20
2	4	0	33	40	4	1	22
3	4	0	33	40	4	1	22
5	4	0	34	20	2	11	20
8	4	0	35	40	4	20	22
9	4	0	35	40	4	20	22
11	4	0	36	20	2	11	20
13	4	0	37	20	2	0	20
15	4	0	38	20	2	19	20
17	4	0	39	20	2	6	20
20	4	0	40	40	4	21	22
21	4	0	40	40	4	21	22
0	5	0	41	20	2	9	20
3	5	0	42	40	4	19	22
4	5	0	42	40	4	19	22
6	5	0	43	20	2	4	20
8	5	0	44	20	2	5	20
11	5	0	45	40	4	10	22
12	5	0	45	40	4	10	22
14	5	0	46	20	2	18	20
17	5	0	47	40	4	7	22
18	5	0	47	40	4	7	22
20	5	0	48	20	2	16	20
0	6	0	49	40	4	17	22
1	6	0	49	40	4	17	22
4	6	0	50	40	4	13	22
5	6	0	50	40	4	13	22
8	6	0	51	40	4	0	22
9	6	0	51	40	4	0	22
11	6	0	52	20	2	15	20
13	6	0	53	20	2	16	20
16	6	0	54	40	4	14	22
17	6	0	54	40	4	14	22
19	6	0	55	20	2	11	20
21	6	0	56	20	2	0	20
0	7	0	57	20	2	17	20
3	7	0	58	40	4	8	22
4	7	0	58	40	4	8	22
7	7	0	59	40	4	18	22
8	7	0	59	40	4	18	22
11	7	0	60	40	4	0	22
12	7	0	60	40	4	0	22
15	7	0	61	40	4	9	22
16	7	0	61	40	4	9	22
19	7	0	62	40	4	16	22
20	7	0	62	40	4	16	22
0	8	0	63	40	4	20	22
1	8	0	63	40	4	20	22
3	8	0	64	20	2	18	20
6	8	0	65	40	4	21	22
7	8	0	65	40	4	21	22
10	8	0	66	40	4	0	22
11	8	0	66	40	4	0	22
14	8	0	67	40	4	13	22
15	8	0	67	40	4	13	22
17	8	0	68	20	2	2	20
19	8	0	69	20	2	3	20
0	9	0	70	40	4	16	22
1	9	0	70	40	4	16	22
2	9	0	71	20	2	7	20
4	9	0	72	20	2	9	20
7	9	0	73	40	4	2	22
8	9	0	73	40	4	2	22
11	9	0	74	40	4	12	22
12	9	0	74	40	4	12	22
15	9	0	75	40	4	0	22
16	9	0	75	40	4	0	22
19	9	0	76	40	4	7	22
20	9	0	76	40	4	7	22
0	10	0	77	40	4	2	22
1	10	0	77	40	4	2	22
4	10	0	78	40	4	22	22
5	10	0	78	40	4	22	22
7	10	0	79	20	2	5	20
10	10	0	80	40	4	6	22
11	10	0	80	40	4	6	22
13	10	0	81	20	2	8	20
16	10	0	82	40	4	6	22
17	10	0	82	40	4	6	22
19	10	0	83	20	2	10	20
21	10	0	84	20	2	20	20
0	11	0	85	20	2	10	20
3	11	0	86	40	4	17	22
4	11	0	86	40	4	17	22
7	11	0	87	40	4	22	22
8	11	0	87	40	4	22	22
11	11	0	88	40	4	14	22
12	11	0	88	40	4	14	22
15	11	0	89	40	4	8	22
16	11	0	89	40	4	8	22
18	11	0	90	20	2	4	20
20	11	0	91	20	2	0	20
22	11	0	92	20	2	16	20
1	12	0	93	20	2	12	20
4	12	0	94	40	4	8	22
5	12	0	94	40	4	8	22
8	12	0	95	40	4	12	22
9	12	0	95	40	4	12	22
12	12	0	96	40	4	11	22
13	12	0	96	40	4	11	22
16	12	0	97	40	4	6	22
17	12	0	97	40	4	6	22
20	12	0	98	40	4	1	22
21	12	0	98	40	4	1	22
2	13	0	99	40	4	21	22
3	13	0	99	40	4	21	22
6	13	0	100	40	4	19	22
7	13	0	100	40	4	19	22
10	13	0	101	40	4	2	22
11	13	0	101	40	4	2	22
12	13	0	102	20	2	12	20
14	13	0	103	20	2	10	20
16	13	0	104	20	2	8	20
19	13	0	105	40	4	12	22
20	13	0	105	40	4	12	22
0	14	0	106	40	4	17	22
1	14	0	106	40	4	17	22
4	14	0	107	40	4	22	22
5	14	0	107	40	4	22	22
7	14	0	108	20	2	13	20
10	14	0	109	40	4	20	22
11	14	0	109	40	4	20	22
14	14	0	110	40	4	0	22
15	14	0	110	40	4	0	22
17	14	0	111	20	2	8	20
20	14	0	112	40	4	10	22
21	14	0	112	40	4	10	22
0	15	0	113	20	2	7	20
3	15	0	114	40	4	5	22
4	15	0	114	40	4	5	22
7	15	0	115	40	4	15	22
8	15	0	115	40	4	15	22
10	15	0	116	20	2	11	20
13	15	0	117	40	4	18	22
14	15	0	117	40	4	18	22
17	15	0	118	40	4	5	22
18	15	0	118	40	4	5	22
20	15	0	119	20	2	13	20
22	15	0	120	20	2	1	20
1	16	0	121	20	2	16	20
3	16	0	122	20	2	9	20
5	16	0	123	20	2	15	20
7	16	0	124	20	2	19	20
9	16	0	125	20	2	12	20
11	16	0	126	20	2	11	20
14	16	0	127	40	4	14	22
15	16	0	127	40	4	14	22
17	16	0	128	20	2	11	20
19	16	0	129	20	2	19	20
0	17	0	130	40	4	1	22
1	17	0	130	40	4	1	22
2	17	0	131	20	2	18	20
4	17	0	132	20	2	15	20
6	17	0	133	20	2	13	20
9	17	0	134	40	4	6	22
10	17	0	134	40	4	6	22
12	17	0	135	20	2	19	20
15	17	0	136	40	4	16	22
16	17	0	136	40	4	16	22
18	17	0	137	20	2	11	20
21	17	0	138	40	4	14	22
22	17	0	138	40	4	14	22
1	18	0	139	20	2	1	20
3	18	0	140	20	2	9	20
5	18	0	141	20	2	19	20
8	18	0	142	40	4	5	22
9	18	0	142	40	4	5	22
12	18	0	143	40	4	7	22
13	18	0	143	40	4	7	22
16	18	0	144	40	4	17	22
17	18	0	144	40	4	17	22
19	18	0	145	20	2	7	20
21	18	0	146	20	2	9	20
2	19	0	147	40	4	10	22
3	19	0	147	40	4	10	22
4	19	0	148	20	2	1	20
7	19	0	149	40	4	4	22
8	19	0	149	40	4	4	22
10	19	0	150	20	2	9	20
12	19	0	151	20	2	2	20
15	19	0	152	40	4	5	22
16	19	0	152	40	4	5	22
18	19	0	153	20	2	6	20
20	19	0	154	20	2	19	20
0	20	0	155	40	4	8	22
1	20	0	155	40	4	8	22
4	20	0	156	40	4	14	22
5	20	0	156	40	4	14	22
7	20	0	157	20	2	12	20
9	20	0	158	20	2	18	20
11	20	0	159	20	2	12	20
14	20	0	160	40	4	3	22
15	20	0	160	40	4	3	22
18	20	0	161	40	4	9	22
19	20	0	161	40	4	9	22
21	20	0	162	20	2	5	20
2	21	0	163	40	4	1	22
3	21	0	163	40	4	1	22
6	21	0	164	40	4	2	22
7	21	0	164	40	4	2	22
8	21	0	165	20	2	12	20
11	21	0	166	40	4	22	22
12	21	0	166	40	4	22	22
15	21	0	167	40	4	15	22
16	21	0	167	40	4	15	22
18	21	0	168	20	2	16	20
21	21	0	169	40	4	7	22
22	21	0	169	40	4	7	22
2	0	1	170	40	4	4	22
3	0	1	170	40	4	4	22
6	0	1	171	40	4	17	22
7	0	1	171	40	4	17	22
9	0	1	172	20	2	7	20
12	0	1	173	40	4	10	22
