23	22	18
y	x	z	ContainerCode	Container Length	Weight	Cargo	Cargo Capacity
0	0	0	01	40	4	14	22
1	0	0	01	40	4	14	22
2	0	0	02	40	4	16	22
3	0	0	02	40	4	16	22
4	0	0	03	40	4	19	22
5	0	0	03	40	4	19	22
6	0	0	04	20	2	20	20
7	0	0	05	20	2	0	20
8	0	0	06	20	2	3	20
9	0	0	07	20	2	14	20
10	0	0	08	40	4	2	22
11	0	0	08	40	4	2	22
12	0	0	09	20	2	5	20
13	0	0	10	20	2	1	20
14	0	0	11	20	2	5	20
15	0	0	12	40	4	2	22
16	0	0	12	40	4	2	22
17	0	0	13	40	4	15	22
18	0	0	13	40	4	15	22
19	0	0	14	20	2	2	20
20	0	0	15	40	4	11	22
21	0	0	15	40	4	11	22
22	0	0	19	20	2	7	20
0	1	0	16	40	4	17	22
1	1	0	16	40	4	17	22
2	1	0	17	40	4	3	22
3	1	0	17	40	4	3	22
4	1	0	18	40	4	17	22
5	1	0	18	40	4	17	22
6	1	0	20	40	4	19	22
7	1	0	20	40	4	19	22
8	1	0	21	40	4	17	22
9	1	0	21	40	4	17	22
10	1	0	22	20	2	4	20
11	1	0	23	20	2	10	20
12	1	0	24	20	2	19	20
13	1	0	25	20	2	11	20
14	1	0	26	20	2	0	20
15	1	0	27	20	2	6	20
16	1	0	28	40	4	10	22
17	1	0	28	40	4	10	22
18	1	0	29	20	2	5	20
19	1	0	30	40	4	6	22
20	1	0	30	40	4	6	22
21	1	0	31	20	2	18	20
22	1	0	32	20	2	15	20
0	2	0	33	40	4	1	22
1	2	0	33	40	4	1	22
2	2	0	34	20	2	11	20
3	2	0	35	40	4	20	22
4	2	0	35	40	4	20	22
5	2	0	36	20	2	11	20
6	2	0	37	20	2	0	20
7	2	0	38	20	2	19	20
8	2	0	39	20	2	6	20
9	2	0	40	40	4	21	22
10	2	0	40	40	4	21	22
11	2	0	41	20	2	9	20
12	2	0	42	40	4	19	22
13	2	0	42	40	4	19	22
14	2	0	43	20	2	4	20
15	2	0	44	20	2	5	20
16	2	0	45	40	4	10	22
17	2	0	45	40	4	10	22
18	2	0	46	20	2	18	20
19	2	0	47	40	4	7	22
20	2	0	47	40	4	7	22
21	2	0	48	20	2	16	20
22	2	0	52	20	2	15	20
0	3	0	49	40	4	17	22
1	3	0	49	40	4	17	22
2	3	0	50	40	4	13	22
3	3	0	50	40	4	13	22
4	3	0	51	40	4	0	22
5	3	0	51	40	4	0	22
6	3	0	53	20	2	16	20
7	3	0	54	40	4	14	22
8	3	0	54	40	4	14	22
9	3	0	55	20	2	11	20
10	3	0	56	20	2	0	20
11	3	0	57	20	2	17	20
12	3	0	58	40	4	8	22
13	3	0	58	40	4	8	22
14	3	0	59	40	4	18	22
15	3	0	59	40	4	18	22
16	3	0	60	40	4	0	22
17	3	0	60	40	4	0	22
18	3	0	61	40	4	9	22
19	3	0	61	40	4	9	22
20	3	0	62	40	4	16	22
21	3	0	62	40	4	16	22
22	3	0	64	20	2	18	20
0	4	0	63	40	4	20	22
1	4	0	63	40	4	20	22
2	4	0	65	40	4	21	22
3	4	0	65	40	4	21	22
4	4	0	66	40	4	0	22
5	4	0	66	40	4	0	22
6	4	0	67	40	4	13	22
7	4	0	67	40	4	13	22
8	4	0	68	20	2	2	20
9	4	0	69	20	2	3	20
10	4	0	70	40	4	16	22
11	4	0	70	40	4	16	22
12	4	0	71	20	2	7	20
13	4	0	72	20	2	9	20
14	4	0	73	40	4	2	22
15	4	0	73	40	4	2	22
16	4	0	74	40	4	12	22
17	4	0	74	40	4	12	22
18	4	0	75	40	4	0	22
19	4	0	75	40	4	0	22
20	4	0	76	40	4	7	22
21	4	0	76	40	4	7	22
22	4	0	79	20	2	5	20
0	5	0	77	40	4	2	22
1	5	0	77	40	4	2	22
2	5	0	78	40	4	22	22
3	5	0	78	40	4	22	22
4	5	0	80	40	4	6	22
5	5	0	80	40	4	6	22
6	5	0	81	20	2	8	20
7	5	0	82	40	4	6	22
8	5	0	82	40	4	6	22
9	5	0	83	20	2	10	20
10	5	0	84	20	2	20	20
11	5	0	85	20	2	10	20
12	5	0	86	40	4	17	22
13	5	0	86	40	4	17	22
14	5	0	87	40	4	22	22
15	5	0	87	40	4	22	22
16	5	0	88	40	4	14	22
17	5	0	88	40	4	14	22
18	5	0	89	40	4	8	22
19	5	0	89	40	4	8	22
20	5	0	90	20	2	4	20
21	5	0	91	20	2	0	20
22	5	0	92	20	2	16	20
0	6	0	93	20	2	12	20
1	6	0	94	40	4	8	22
2	6	0	94	40	4	8	22
3	6	0	95	40	4	12	22
4	6	0	95	40	4	12	22
5	6	0	96	40	4	11	22
6	6	0	96	40	4	11	22
7	6	0	97	40	4	6	22
8	6	0	97	40	4	6	22
9	6	0	98	40	4	1	22
10	6	0	98	40	4	1	22
11	6	0	99	40	4	21	22
12	6	0	99	40	4	21	22
13	6	0	100	40	4	19	22
14	6	0	100	40	4	19	22
15	6	0	101	40	4	2	22
16	6	0	101	40	4	2	22
17	6	0	102	20	2	12	20
18	6	0	103	20	2	10	20
19	6	0	104	20	2	8	20
20	6	0	105	40	4	12	22
21	6	0	105	40	4	12	22
22	6	0	108	20	2	13	20
0	7	0	106	40	4	17	22
1	7	0	106	40	4	17	22
2	7	0	107	40	4	22	22
3	7	0	107	40	4	22	22
4	7	0	109	40	4	20	22
5	7	0	109	40	4	20	22
6	7	0	110	40	4	0	22
7	7	0	110	40	4	0	22
8	7	0	111	20	2	8	20
9	7	0	112	40	4	10	22
10	7	0	112	40	4	10	22
11	7	0	113	20	2	7	20
12	7	0	114	40	4	5	22
13	7	0	114	40	4	5	22
14	7	0	115	40	4	15	22
15	7	0	115	40	4	15	22
16	7	0	116	20	2	11	20
17	7	0	117	40	4	18	22
